#建仓日期,平仓日期,证券代码,证券名称,累计持仓数量,累计花费资金,累计交易成本,已转化资金,总盈利,累积风险
2024-01-16 00:00:00,2024-01-30 00:00:00,SH600221,海航控股,70900.000,99969.000,0.000,97842.000,-2127.000,99969.000
2024-01-30 00:00:00,2024-02-21 00:00:00,SH600157,永泰能源,73500.000,97755.000,0.000,101430.000,3675.000,97755.000
2024-02-21 00:00:00,2024-03-06 00:00:00,SH600340,华夏幸福,72000.000,101520.000,0.000,102960.000,1440.000,101520.000
2024-03-06 00:00:00,2024-04-19 00:00:00,SH600157,永泰能源,75700.000,102952.000,0.000,101438.000,-1514.000,102952.000
2024-04-19 00:00:00,2024-05-08 00:00:00,SH600340,华夏幸福,84500.000,101400.000,0.000,99710.000,-1690.000,101400.000
2024-05-22 00:00:00,2024-06-05 00:00:00,SH600157,永泰能源,75500.000,99660.000,0.000,92865.000,-6795.000,99660.000
2024-06-05 00:00:00,2024-06-20 00:00:00,SH600804,*ST鹏博,83700.000,92907.000,0.000,120528.000,27621.000,92907.000
2024-06-20 00:00:00,2024-07-04 00:00:00,SH600340,华夏幸福,113700.000,120522.000,0.000,126207.000,5685.000,120522.000
2024-07-04 00:00:00,2024-07-18 00:00:00,SH600221,海航控股,114800.000,126280.000,0.000,125132.000,-1148.000,126280.000
2024-07-18 00:00:00,2024-09-30 00:00:00,SH600340,华夏幸福,120300.000,125112.000,0.000,180450.000,55338.000,125112.000
2024-09-30 00:00:00,2024-11-04 00:00:00,SH600221,海航控股,139900.000,180471.000,0.000,233633.000,53162.000,180471.000
2024-11-04 00:00:00,2024-12-30 00:00:00,SH600157,永泰能源,167400.000,234546.000,0.000,300563.400,66017.400,234546.000
2024-12-30 00:00:00,2025-01-14 00:00:00,SH600221,海航控股,174200.000,299624.000,0.000,294398.000,-5226.000,299624.000
2025-01-14 00:00:00,2025-03-05 00:00:00,SZ002146,荣盛发展,184000.000,294400.000,0.000,279680.000,-14720.000,294400.000
